dimension,value,n_gt,recall_50,recall_75,mean_best_raw_iou,median_best_raw_iou,good_candidate_rate,high_quality_candidate_rate,final_tp_rate,final_miss_rate,mean_best_candidate_score,confidence_survival,nms_survival,class
aspect_bucket,"[8,16)",2,1.0,0.5,0.8514322638511658,0.8514322638511658,1.0,1.0,1.0,0.0,0.0036749489008798264,0.5,1.0,AC
aspect_bucket,"[1,2)",48,0.7708333333333334,0.3958333333333333,0.7287944726025065,0.7961806356906891,0.8541666666666666,0.5833333333333334,0.7708333333333334,0.22916666666666663,0.18445831704805946,0.5208333333333334,1.0,P
aspect_bucket,"[2,4)",61,0.8360655737704918,0.5737704918032787,0.7632403129436931,0.8385072946548462,0.8688524590163934,0.639344262295082,0.8360655737704918,0.16393442622950816,0.13142899322026438,0.5409836065573771,1.0,P
aspect_bucket,"[4,8)",6,0.6666666666666666,0.3333333333333333,0.7564132710297903,0.7581731677055359,1.0,0.5,0.6666666666666666,0.33333333333333337,0.03937101562041789,0.16666666666666666,0.8,P
aspect_bucket,"[1,2)",16,1.0,0.875,0.8849359899759293,0.9014725387096405,1.0,1.0,1.0,0.0,0.2742995226926723,0.875,1.0,MC
aspect_bucket,"[2,4)",234,0.9700854700854701,0.7692307692307693,0.8412765064555355,0.8771072328090668,0.9829059829059829,0.8461538461538461,0.9700854700854701,0.02991452991452992,0.34351188885092887,0.8205128205128205,0.9956140350877193,MC
aspect_bucket,"[4,8)",152,0.8289473684210527,0.3684210526315789,0.7008849974525603,0.7329757511615753,0.881578947368421,0.4473684210526316,0.8289473684210527,0.17105263157894735,0.30255638919186967,0.6381578947368421,0.9767441860465116,MC
aspect_bucket,"[8,16)",1,0.0,0.0,0.16871672868728638,0.16871672868728638,0.0,0.0,0.0,1.0,0.28349053859710693,0.0,,MC
aspect_bucket,"[1,2)",311,0.9228295819935691,0.7041800643086816,0.8503020714812723,0.9048240780830383,0.9646302250803859,0.8006430868167203,0.9228295819935691,0.07717041800643087,0.22033311758496335,0.77491961414791,0.9930795847750865,LP
aspect_bucket,"[2,4)",157,0.9490445859872612,0.6815286624203821,0.8627949018197455,0.9048457741737366,0.9936305732484076,0.8407643312101911,0.9490445859872612,0.05095541401273884,0.20782399261247375,0.7515923566878981,1.0,LP
aspect_bucket,"[4,8)",40,0.975,0.775,0.8633506372570992,0.8950211107730865,1.0,0.85,0.975,0.025000000000000022,0.24508484133220917,0.7,1.0,LP
aspect_bucket,"[8,16)",11,1.0,1.0,0.8922880671241067,0.8916488885879517,1.0,1.0,1.0,0.0,0.34224339216565236,1.0,1.0,LP
