seed,checkpoint,batch,batch_hash,scope,instances_or_assigned_positives,box_loss,cls_loss,dfl_loss,loc_norm,cls_norm,cls_to_loc_norm_ratio,log10_cls_to_loc_ratio,cosine,conflict,finite
43,epoch50,22,2297f487f0ecec69d9bb03ab1c1ab6462947f9be30d9f1404026cda7df27620b,D20,107,1.1121289730072021,1.1426196098327637,0.008599536493420601,0.001157130696810782,0.0031591623555868864,2.730168998449346,0.43618953085847134,-0.022513991221785545,1,1
43,epoch50,22,2297f487f0ecec69d9bb03ab1c1ab6462947f9be30d9f1404026cda7df27620b,D40,48,1.1121289730072021,1.1426196098327637,0.008599536493420601,0.02607647515833378,0.019265320152044296,0.7388007786737731,-0.131472655498249,0.09569834917783737,0,1
43,epoch50,23,bde13578b9281c4539c651383b60b4fb0bfefe18442c462348aed858a8942b34,all,32,1.4275500774383545,1.1967841386795044,0.017961107194423676,0.00922946073114872,0.006984715349972248,0.7567847736108103,-0.12102761445421231,0.202327698469162,0,1
43,epoch50,23,bde13578b9281c4539c651383b60b4fb0bfefe18442c462348aed858a8942b34,D00,12,1.4275500774383545,1.1967841386795044,0.017961107194423676,0.01935759000480175,0.06591729074716568,3.4052426325185396,0.5321480619785415,-0.1902163326740265,1,1
43,epoch50,23,bde13578b9281c4539c651383b60b4fb0bfefe18442c462348aed858a8942b34,D10,70,1.4275500774383545,1.1967841386795044,0.017961107194423676,0.020953238010406494,0.011490100994706154,0.5483687527913136,-0.260927300193498,0.3933972716331482,0,1
43,epoch50,23,bde13578b9281c4539c651383b60b4fb0bfefe18442c462348aed858a8942b34,D20,180,1.4275500774383545,1.1967841386795044,0.017961107194423676,0.009235779754817486,0.008927341550588608,0.9666039887895775,-0.014751417033131787,0.3167519271373749,0,1
43,epoch50,23,bde13578b9281c4539c651383b60b4fb0bfefe18442c462348aed858a8942b34,D40,39,1.4275500774383545,1.1967841386795044,0.017961107194423676,0.03663674369454384,0.010819053277373314,0.29530608308359435,-0.5297276068025215,0.03846840560436249,0,1
43,epoch50,24,9af470d40aa040f9f4f93f72a3dfeb98d56790738cccce74e880be9521001a33,all,32,1.5750327110290527,1.0732831954956055,0.016038769856095314,0.00734340026974678,0.005862214136868715,0.7982969634679684,-0.09783552267885923,-0.06205993518233299,1,1
43,epoch50,24,9af470d40aa040f9f4f93f72a3dfeb98d56790738cccce74e880be9521001a33,D00,50,1.5750327110290527,1.0732831954956055,0.016038769856095314,0.013961920514702797,0.023051125928759575,1.65099965327014,0.21774698205571874,-0.1851319521665573,1,1
43,epoch50,24,9af470d40aa040f9f4f93f72a3dfeb98d56790738cccce74e880be9521001a33,D10,80,1.5750327110290527,1.0732831954956055,0.016038769856095314,0.02795272506773472,0.02338333986699581,0.8365316730420227,-0.07751761098734165,0.045477092266082764,0,1
43,epoch50,24,9af470d40aa040f9f4f93f72a3dfeb98d56790738cccce74e880be9521001a33,D20,150,1.5750327110290527,1.0732831954956055,0.016038769856095314,0.0010510822758078575,0.0028935980517417192,2.7529700750759134,0.43980149061598306,-0.09886164963245392,1,1
43,epoch50,24,9af470d40aa040f9f4f93f72a3dfeb98d56790738cccce74e880be9521001a33,D40,40,1.5750327110290527,1.0732831954956055,0.016038769856095314,0.017626933753490448,0.007328621111810207,0.415762674002165,-0.3811545029856338,-0.08183872699737549,1,1
43,epoch50,25,6542ffe3661e0f2f2f4c6f405b5127dcd77840963b39b61cd6d0a59e03ed4389,all,26,1.6664652824401855,1.4999433755874634,0.016817882657051086,0.012875583954155445,0.012343368493020535,0.9586647515926341,-0.01833324057514099,-0.3145671784877777,1,1
43,epoch50,25,6542ffe3661e0f2f2f4c6f405b5127dcd77840963b39b61cd6d0a59e03ed4389,D00,50,1.6664652824401855,1.4999433755874634,0.016817882657051086,0.018794329836964607,0.013432380743324757,0.7147038952623896,-0.14587385091079405,-0.028354555368423462,1,1
43,epoch50,25,6542ffe3661e0f2f2f4c6f405b5127dcd77840963b39b61cd6d0a59e03ed4389,D10,80,1.6664652824401855,1.4999433755874634,0.016817882657051086,0.03795095533132553,0.01547310221940279,0.40771311510651115,-0.38964531816085207,-0.5417922735214233,1,1
43,epoch50,25,6542ffe3661e0f2f2f4c6f405b5127dcd77840963b39b61cd6d0a59e03ed4389,D20,120,1.6664652824401855,1.4999433755874634,0.016817882657051086,0.010543899610638618,0.022154374048113823,2.1011556318082194,0.32245822162645343,-0.02499617636203766,1,1
43,epoch50,25,6542ffe3661e0f2f2f4c6f405b5127dcd77840963b39b61cd6d0a59e03ed4389,D40,7,1.6664652824401855,1.4999433755874634,0.016817882657051086,0.014154564589262009,0.0419045090675354,2.9604943905745547,0.471364242535119,-0.10707154870033264,1,1
43,epoch50,26,d3630edb5cad7433911883c7c4c6d5fe7e5856e35b45f6a8bb6c8d5499c386f1,all,43,1.3417750597000122,1.2162200212478638,0.008832622319459915,0.009407497011125088,0.005652977153658867,0.6009012968033672,-0.22119685873607273,0.3388872444629669,0,1
