seed,checkpoint,scope,batches,valid_cosine_batches,conflict_fraction,cosine_p25,cosine_median,cosine_p75,loc_norm_median,cls_norm_median,ratio_p25,ratio_median,ratio_p75,all_finite
42,epoch5,D10,31,30,0.4,-0.13784939050674438,0.0799371525645256,0.24760082364082336,0.01674720086157322,0.014481568709015846,0.5314885272504772,0.6749084045239973,0.8954548493901868,1
42,epoch5,D20,32,32,0.59375,-0.15891024097800255,-0.021067692898213863,0.09997411072254181,0.00711193005554378,0.0062603449914604425,0.6687417400018894,0.856614762403751,1.1115984262427574,1
42,epoch5,D40,27,11,0.2727272727272727,0.0050372350960969925,0.1476115584373474,0.225774347782135,0.0,0.0005165786715224385,0.5478655926920974,0.6100073000538193,0.7876052783538794,1
42,epoch5,all,32,32,0.6875,-0.24805788323283195,-0.12333643436431885,0.05062473099678755,0.007371101761236787,0.005359538597986102,0.6014279114271958,0.763354858583137,1.049150577726103,1
42,epoch50,D00,32,32,0.5625,-0.21716372668743134,-0.042243603616952896,0.09955925308167934,0.027784020639955997,0.02439139410853386,0.6090574056295246,0.7528141243617033,1.4416637374839383,1
42,epoch50,D10,31,31,0.5161290322580645,-0.19094336032867432,-0.04345734044909477,0.22437382489442825,0.029735276475548744,0.019573558121919632,0.4150625097100811,0.5319451195367905,0.9367637291453506,1
42,epoch50,D20,32,32,0.46875,-0.13498254865407944,0.017839267384260893,0.2027284950017929,0.010073583573102951,0.009912239387631416,0.7386042134326536,0.9987613097728221,1.771218593790787,1
42,epoch50,D40,27,24,0.6666666666666666,-0.249885905534029,-0.15078838169574738,0.055364646948874,0.02787247858941555,0.014827761799097061,0.3630268961278868,0.5393709251361231,0.6991863551611588,1
42,epoch50,all,32,32,0.59375,-0.2278219647705555,-0.057016714476048946,0.043518503196537495,0.011190882418304682,0.008863573428243399,0.6095853803288914,0.7761780746481175,0.9801910955128041,1
43,best,D00,32,32,0.5625,-0.1075393334031105,-0.021706792525947094,0.09455779567360878,0.02965883631259203,0.031339989975094795,0.661709824025882,1.0569770532206602,1.389630927151249,1
43,best,D10,31,31,0.6451612903225806,-0.23575129359960556,-0.06440134346485138,0.07610107026994228,0.03106343187391758,0.02150113321840763,0.4547500262102855,0.7716258249943311,1.408070859169583,1
43,best,D20,32,32,0.53125,-0.12799279391765594,-0.01953023299574852,0.1282348483800888,0.009852675721049309,0.011221798602491617,0.8996755225881663,1.2165876126446014,1.8254931717395513,1
43,best,D40,27,23,0.6086956521739131,-0.2238977551460266,-0.10493543744087219,0.16023273020982742,0.029611650854349136,0.015987295657396317,0.35371734281458095,0.5398988302284479,0.8251693864949297,1
43,best,all,32,32,0.53125,-0.11180075258016586,-0.00432881317101419,0.12696305476129055,0.011498527601361275,0.01126445410773158,0.784117924161048,0.9172177086791653,1.2271837942041446,1
43,epoch20,D00,32,32,0.40625,-0.0669772569090128,0.05518205091357231,0.17140289768576622,0.015401889104396105,0.013564014807343483,0.6059490675076662,0.919806369119751,1.3266091915396403,1
43,epoch20,D10,31,31,0.3870967741935484,-0.11579261347651482,0.07859693467617035,0.33117616176605225,0.01658218912780285,0.012709444388747215,0.41200927746657656,0.6614477784386936,1.0229235398363516,1
43,epoch20,D20,32,32,0.53125,-0.1054033599793911,-0.006500817369669676,0.19375671446323395,0.006849335273727775,0.006670681294053793,0.8287916941439876,0.913638154496391,1.2858158903078332,1
43,epoch20,D40,27,19,0.5263157894736842,-0.03567224554717541,-0.004569169133901596,0.10595808178186417,0.003057420952245593,0.004408158827573061,0.6694145588871581,0.8910552335940537,1.271459746851293,1
43,epoch20,all,32,32,0.3125,-0.030507922172546387,0.14190848171710968,0.31179384142160416,0.0059739043936133385,0.005648516118526459,0.6898660681485677,0.8791882429644103,1.1550441936860727,1
43,epoch5,D00,32,32,0.46875,-0.12194729968905449,0.004654255171772093,0.06010518316179514,0.009134755004197359,0.012008732184767723,0.8428404773044577,1.0792795016193704,1.7328496367884654,1
43,epoch5,D10,31,30,0.5666666666666667,-0.28332387655973434,-0.06239787116646767,0.30138498172163963,0.013831481337547302,0.007580933161079884,0.4202658666480287,0.5172712674028683,0.8912961323311649,1
43,epoch5,D20,32,32,0.4375,-0.20956706255674362,0.046926844865083694,0.2415090762078762,0.0045338047202676535,0.004070034250617027,0.6047728862410192,0.9552584181195064,1.2306272436459829,1
43,epoch5,D40,27,12,0.75,-0.19953447580337524,-0.04411453381180763,0.012193656497402117,0.0,0.0005977075779810548,0.6838680176498803,0.7641696839760335,0.9189996490826435,1
43,epoch5,all,32,32,0.5,-0.15778906270861626,-0.0054929666221141815,0.13127731159329414,0.004300649743527174,0.0037599618081003428,0.6500059751105856,0.8402135791477899,1.0420912030859797,1
43,epoch50,D00,32,32,0.53125,-0.15512662380933762,-0.024776787497103214,0.10316041484475136,0.023852774873375893,0.02436293289065361,0.6598565935981072,0.938865735543245,1.5678367204598875,1
43,epoch50,D10,31,31,0.41935483870967744,-0.19162225723266602,0.060580793768167496,0.1866837814450264,0.027225390076637268,0.021068092435598373,0.47724091593374585,0.7096161113351859,1.5614229140630371,1
43,epoch50,D20,32,32,0.25,0.02688430668786168,0.17238575965166092,0.3239652141928673,0.0086005968041718,0.009359473828226328,0.9221427303331862,1.2363257562501824,1.7017782742501117,1
43,epoch50,D40,27,23,0.6086956521739131,-0.12674134224653244,-0.04633709415793419,0.029461570084095,0.02557225711643696,0.016843587160110474,0.48451448116804025,0.6340186171882478,0.7474727367233094,1
43,epoch50,all,32,32,0.40625,-0.03701390139758587,0.0373295359313488,0.21967389062047005,0.009318478871136904,0.009350171312689781,0.7861629628990503,0.979765726965684,1.2241308439289211,1
